location,price,Supply(Selling)_or_Demand(Buying),text,title,url,legacyId,time,commentsCount,likesCount,sharesCount,topComments/0/text,topComments/1/likesCount,topComments/1/text,user/id,user/name
,,,"Hi, my roommate and I are looking for a female roommate to replace one of the current tenants. It’s a 2 bedroom, 1 bath apartment. Rent is $1200 with water and garbage included. Added utilities can be $50-$75 dollars a month. It’s 2 blocks from SJSU and a 15 minute drive to SCU! You would have a private bedroom with a full length mirrored closet. We are looking for someone to move in October 1st! 

A little about us: I’m currently a third year at SJSU, studying biomedical engineering, and Devonny is a first year transfer at SCU, studying computer science. Feel free to message us and we can set up a phone call or video chat!",,https://www.facebook.com/groups/SJSUhousing/permalink/2023893987944427/,2023893987944427,2023-09-07T04:53:46.000Z,3,5,0,1200 Dollar for per person?,0,Messaged!,pfbid0RRDziywcKhH8PQMsGjRuZjh9LPheXmoAcDA1i33SnpUxWa2Fv7aBWyStZtj42wegl,Jimena Guerrero
,,,Have a spacious furnished room in a 2b 2b double master condo on 4th st at the Paseo plaza condos rent is $1700 utilities about 200 a month available end of September. Send me a message if interested.,,https://www.facebook.com/groups/SJSUhousing/permalink/2023196938014132/,2023196938014132,2023-09-06T06:15:57.000Z,1,7,0,Massaged,,,pfbid0Yi5xwiGxy9wK5hE8YDu8VuWBNSiEcrw7RUGgTEBAJoKtagqf4BRZr6825XRV3GUal,Eric Wiedemann
,,,,3 Beds 3 Baths - Townhouse,https://www.facebook.com/groups/SJSUhousing/permalink/2023180664682426/,2023180664682426,2023-09-06T05:46:15.000Z,0,0,0,,,,pfbid037pDZwo8J8hrSiTMzPhrCMdCoHoDeHzC397JfVJNBJF2ZycvRQQhHqz8ZNYVF9ycSl,Dipesh Sharma
,,,"Hi there! I am (Male, 22) looking for a private room near Downtown San Jose. My budget is anything under $1300 a month. I am looking to only stay for half a year. If anyone has any offers, please don't hesitate to let me know. I am working tirelessly to find a place right now.",,https://www.facebook.com/groups/SJSUhousing/permalink/2022913558042470/,2.02291E+15,2023-09-05T18:32:42.000Z,2,5,0,I have a room available! 10 minutes from downtown,,,pfbid0ub1Sv8R8aDxZ9DJtVLieyEn7jaFJ46ywSqk5fCKxrKMrvycXD5BLt5yexAWgkaKil,Kyle Dimick
,,,"Hello everyone, I'm posting for a friend:
She is looking for a roommate to occupy the second bedroom of a two bedroom apartment with one shared bathroom.
Move in date: October 1st
Rent: $1128(without utilities)
5 minute walk from SJSU campus.(Females only please!)",,https://www.facebook.com/groups/SJSUhousing/permalink/2022883044712188/,2022883044712188,2023-09-05T17:13:45.000Z,0,1,0,,,,pfbid02UGZtpbiEScbujLfz66nCzQn5idPawHFtUCq9LC8e6f3BHXZJMaRhFvUXVyDrrboPl,Maame Busia
,,,"Looking for housemate.  $1,200 + electric + internet(80). 
Move in date (9/18-10/1) flexible 

Your Space: 1B 1 shred bath + HUGE living room+ Balcony + gated parking + Street parking + Full access to kitchen.

My favorite part about building is how safe it is. Garage is locked by gate. The front entry way is key pad protected.

Nearby:
SJSU is a 2 min walk
San Pedro Square is 10 mins walk with several bars and restaurants.
280 are 1 min drive 101 and 87 are 5 mins drive and 880 is also about 5 mins drive.
Target. trader joes, whole foods, Safeway, sprouts  are all about 5-10 mins drive.o",,https://www.facebook.com/groups/SJSUhousing/permalink/2020085234991969/,2020085234991969,2023-09-05T07:28:08.000Z,1,9,0,I’m interested!,,,pfbid0ViLJLW8dmrEZdBtJo6k3TPYmkwaE3Pz2LWZKmNMgti4NUxmyLdC9LwLGsRWrsmwGl,Jessi Boyd-mankin
,,,"🏡 **Subleasing Alert! 1 Bed, 1 Bath Apartment at Monticello apartments, Santa Clara**

I have some exciting news for anyone in search of a fantastic apartment. I'm looking to sublease my beautiful 1-bedroom, 1-bath apartment at Monticello, and it could be your new home!

🔑 **Apartment Details:**
* Location: Monticello Apartments, Santa Clara
* Rent: $3,150/month (plus utilities)
* Lease ends: February 14th, 2024
* Includes parking in gated garage
* In-home washer & dryer
* Spacious walk-in closets with linen storage
* Central heating & air conditioning
* Private balcony
* State-of-the-art fitness center
* Clubhouse with kitchen and workspaces
* Courtyards with lush landscaping
* On-site retail & dining

This apartment is truly a gem with its spacious layout, modern amenities, and a fantastic location. It's perfect for individuals or couples looking for a cozy place to call home. Please ping me for more details.",,https://www.facebook.com/groups/SJSUhousing/permalink/2021858694814623/,2021858694814623,2023-09-05T07:25:56.000Z,0,2,0,,,,pfbid0355eMYktdynRCoibU7eVrV7Vq3q9S1ytsuGoz5UPaftaT5kmbCipm54DUndLGSJsxl,Shreyas Jayaprakash
,,,"2 BLOCKS FROM SJSU:  2 Bedroom/1 Bathroom Home ($2775)

Features: 

- 2 Assigned parking spaces 

- Spacious kitchen  

- Huge dining room. 

- Nice covered back patio. 

- Walk in closets. 

- Mature fruit trees and space for gardening 

- Approx. 1000 square feet 

- Available furnished for an extra charge  

*** Up to 3 people and 2 vehicles total.**

Please PM me for further details.",,https://www.facebook.com/groups/SJSUhousing/permalink/2022595291407630/,2.0226E+15,2023-09-05T06:16:07.000Z,0,1,0,,,,pfbid02CDYxQrbY6ES2KADZmD6sR3mrJvwGKXiSqCvSURznYu9uKiyM8ivGpMBqUw3Xq8ybl,Amarjeet Rai
,,,"🌟 Seeking Private Room with attached Bathroom for Rent near Sunnyvale/Santa Clara ( Roommates: No Gender Preferences )🏡
Hello everyone!
🔍 Here’s what I’m looking for:  Short Term / Long Term Lease
📍 Location: Sunnyvale/Santa Clara
🛏️ Room Type: Private Room
🚽 Bathroom: Attached (preferred)
💰 Budget: $1200 ( approx )
📅 Move-in Date: End week of September
About Me:
🙋‍♂️ I am a responsible and clean tenant even when it comes to common areas. Expecting the same in return.
👨‍💼 Employed ( Network Engineer - Hybrid ).
🌱 I’m a quiet and respectful individual when it comes to privacy either yours or mine.
🍽️🥗 Non Vegetarian ( Egg + Chicken )
🕺🏼 Easygoing person. I am more of an outdoor person i.e. outdoor sports, clubbing/partying, hiking, road trips, etc.
What I Need:
✅ A private room that offers privacy and comfort.
✅ An attached bathroom is highly preferred.
✅ Access to kitchen and common areas.
✅ Friendly roommates ( no Gender preferences ) with mutual understanding.
If you have a room available or know of someone who does, please reach out to me. I’m eager to find the perfect place to call home.
Feel free to ask questions, if any!
Thank you in advance for your help and assistance! 🏡🙏 #RoomForRent #Sunnyvale #SantaClara #HousingSearch",,https://www.facebook.com/groups/SJSUhousing/permalink/2022542341412925/,2022542341412925,2023-09-05T04:07:51.000Z,0,6,0,,,,pfbid02161aetMiVvCHGWnNXszd1QTEuppsUxuJSvvDywd7rpcY1CsgxamWDs38k7ub797al,Aakash Ganjoo
,,,"Hi everyone! My roommate and I are looking for one female to fill in a room in our 3 bed 2 bathroom apartment. 

We are looking for a working professional/grad student. 
We both have full time jobs. The lease starts October 1st, but could do a late September move in. It is a month to month lease.

Rent: $960 (includes $20 flat monthly water rate) + utilities which ranges from ~$60 - $80) depending on the season (wifi and Pg&e)
$900 deposit

Room will be unfurnished
No pets
Female only

You would be sharing the bathroom with my other roommate. 

We rotate the carport parking spot weekly and there is also street parking.

Amenities:
Washer and dryer IN UNIT!
Fully equipped kitchen 
Pool
Balcony 

It’s an apartment complex right off of San Tomas Expressway near Campbell.

~8 minutes to downtown Campbell (2 miles), Santana Row, and Westgate Center.
15-20 minutes to SJSU (8 miles)
10-15 minutes to Santa Clara University (4 miles)

Please message me if you are interested or have any questions! :)",,https://www.facebook.com/groups/SJSUhousing/permalink/2022388938094932/,2022388938094932,2023-09-04T22:08:14.000Z,0,8,0,,,,pfbid0SKRjhrht5op5SZibfS9w9653DDugVNmbDEWGFCeGArWZ18ewkEh6fsY52zA2DoSAl,Laura Sofia
