label,text
Supply,2Bed 2Bath condo available for rent from April 2024
Supply,"🏠Sublet: The Grad

Hey! I'm looking to sublet my unit from June 2024 - July 2024

**This is a DOUBLE so TWO vacancies available in one room** 

**LOOKING FOR 2 MALES** 
**RENT IS $1280 PER PERSON** 

🌆 Key features:
- D1 Floor Plan on the 12th Floor (4bed/4bath) 
-great view of downtown
- double room + bathroom
- downtown location, 3 minute walk to SJSU
- in unit washer + dryer
- fully furnished
- facing San Jose State University and the mountains
- fully furnished (bed, storage, desk, and chair) 
- utilities included
- wifi included
- 55” television in living room
- Lease end: July 31st, 2024

🏙️ Amenities: 
- Gym

- Jacuzzi & pool
- Study rooms
- Gaming room (billiard/foosball)
- Yoga studio 
- Garaged safe indoor parking
- Grilling stations 
- Free printing 

📅 Cost: 
- Rent is $1280, includes utilities, wifi, and furniture 
    ⁃    Address: 88 E San Carlos, San Jose, CA"
Demand,"Hi! Currently looking for a few roommates to live with this coming fall semester 2024. Im hoping to move end of july to early August. My budget is 1250 per person, for ONE room, not room sharing. I don’t smoke or drink (very very little drinking). I’m willing to commute to campus, 10-15 min drive at most. Please message me if interested!! :)"
Supply,"Available private bedrooms for Rent. Month to Month or long-term rent. Single female student only. Distance 4.24 miles from San Jose State University.  No pets, no Smoking or any illegal drugs.1.2 Gb Wi-Fi included. Full kitchen access. Cloth Washer and Dryer available in the house. Ample parking on the street and driveway. Close to Library.
Room 1: Rent is $820 + $80 for utilities +$300 security deposit. Share bathroom with other two female students. Room is available now.
Master room: Rent is $1,220 + $80 for utilities + $500 security deposit for single occupied. This room can be shared with two female students. The room rental is $650 + $80 for utilities + $300 security deposit per student. This room is available now.
If interested, please text me at 408-393-4743 – Bob."
Supply,"AVAILABLE Private Bedroom #2 with shared bath (w/ 1x Male Individual) in 5 Bed 2 Bath all male house March 1st. Convenient location in a quiet + safe neighborhood, located in Edge San Jose neighborhood. Easy access to 101 and 8 min walk to VTA Buses station. 5 Miles away from SJSU.
Within 0.5 miles radius
•FoodMax, Lions Supermarket, Eastridge Mall, 24 Fitness, Starbucks
Within 1 mile radius
•Costco Business Center, Safeway, Tisane, In n Out, Chipotle, Jamba,  Starbucks
Pay rent on time - $1000/m + shared utilities, ranging from $85-$110.
Security Deposit - 1 Month rent
Single Occupancy only
Maid Cleaning once a month on Common Areas
Absolutely no pets
Required 30 days advanced move-out notice
Details
• Newly added flooring in all bedrooms
• Refrigerator
• Washer, dryer, second refrigerator in garage
• High Speed WIFI Internet up to 600mbps
• Furnished with Kitchen Table/Coffee Table/Couch/TV
• Backyard + Patio Access
• Courtyard Access for your bedroom
Parking: Driveway & Street
DM me with a short paragraph about yourself such as year at college and major or where you are from/occupation
1 year lease preferred.
Move in March 1st"
Unknown,
Supply,"Hi everyone, my friend is looking for someone to take over her room  in a three bedroom two bathroom apartment located in downtown San Jose. The other two roommates are male but the unit is coed. Less than five minute walk from SJSU. It is a large private room with a shared bathroom for $882 a month. Water, sewage, and parking included in rent. The unit is also pet friendly and available as soon as March 10th.
Please send a text to +1 (909) 919-8330 if you are interested!"
Demand,"Hey my name is Meghan, I’m transferring to SJSU for Fall of 2024. Hoping to rent with another girl or find a studio apartment near campus. I can move in June/July possibly the end of May. I clean up after myself, and easy to get along with."
Supply,"A single room available for rent with a private bathroom. (females preferred)
Rent is 1200 (1500 for two)+ deposit $1000 with utilities and wifi included. 
-10 min bus ride to De Anza/ the bus stop across the street
-Safeway, Ross, Rite Aid, Gas station across the street.
-Swimming pool, hot tub/ jacuzzi, gym, basketball court, unassigned parking lots, and laundry room in building.
move in date: available now"
Supply,"Summer Sublease
 
When: June and July 2024 
Where: Downtown San Jose (4 blocks from SJSU campus) 
Unit: Private room with shared bathroom 
Rent: $1120 per month. PG&E and Water utilities averaging $60-$80. 
 
Looking for someone to sublease a spacious room with a shared Jack and Jill bathroom. I have been living in the space for a year and a half and have loved it, but sadly I must move back home for clinicals. Looking for someone who is clean, respectful, easy to get along with, and is preferably a student or young professional. 
 
You will be in the upper level of the house with 4 other people and a sweet medium-sized dog. There is a downstairs studio that will be subleased as well, currently, a lovely couple is living there. The kitchen and living room are shared spaces with a spacious backyard and basement for storage. 
 
Other amenities/perks:
- Parking spot included
- WIFI included in rent
- Monthly house cleaning included rent 
- washer and dryer
- 10-minute walk to SJSU, Japan Town, and grocery stores
 
If this seems like a good fit for you or if you have any questions, shoot me a message and we can connect!"
